cust_id,yp_probability,predicted_yp_revenue,internet_probability,predicted_internet_rev,dm_probability,predicted_dm_rev,credit_flag
516220000000,0.03000000,1151.57000000,0.00898600,727.42334400,0.00106700,1481.91000000,0.00000000
516212000000,0.02703500,1203.07000000,0.01615400,850.00000000,0.00012800,81.51946400,0.00000000
516245000000,0.00594800,570.08116000,0.00728400,608.35843000,0.00033200,587.35652000,0.00000000
516233000000,0.00684600,534.51210500,0.00552900,332.35594800,0.00028000,680.12604100,0.00000000
516244000000,0.00850900,799.61146900,0.00519400,437.27608500,0.00038100,1401.27000000,0.00000000
516245000000,0.03000000,1347.36000000,0.01290500,1107.03000000,0.00438500,1267.74000000,0.00000000
516248000000,0.02249600,1474.47000000,0.01042300,753.48000000,0.00033300,1152.41000000,0.00000000
516250000000,0.03000000,1401.60000000,0.00967900,595.08872300,0.00048900,1202.74000000,0.00000000
516251000000,0.00773800,630.92085900,0.00658600,591.17474500,0.00033700,1151.48000000,0.00000000
516252000000,0.00615200,778.00738900,0.00573400,421.99924700,0.00033800,1345.05000000,0.00000000
516232000000,0.00493900,452.02835400,0.00554800,385.72202800,0.00029600,784.42663400,0.00000000
516220000000,0.03000000,1244.96000000,0.02676100,770.82250000,0.00032900,1159.36000000,0.00000000
516234000000,0.03000000,1531.80000000,0.00346600,266.54799800,0.00167200,1355.17000000,0.00000000
516256000000,0.00126900,216.43718900,0.00117100,0.00000000,0.00020900,655.15801700,0.00000000
516233000000,0.03237000,1522.94000000,0.01250600,1194.09000000,0.00343300,1349.93000000,0.00000000
516212000000,0.00995000,1532.46000000,0.00865900,662.35019000,0.00031100,843.69974100,1.00000000
516218000000,0.03000000,1222.40000000,0.03000000,850.00000000,0.00019900,157.93056200,0.00000000
516212000000,0.00425800,505.35240300,0.00725000,650.37712200,0.00008800,0.00000000,0.00000000
516244000000,0.03000000,1080.76000000,0.03000000,850.00000000,0.00034300,1322.60000000,0.00000000
516231000000,0.00829200,840.68584600,0.01523400,815.34000000,0.00223500,1423.54000000,0.00000000
516247000000,0.00436400,326.94787200,0.01161300,782.96900000,0.00034600,517.11769100,0.00000000
516211000000,0.03148300,1142.26000000,0.02996500,1076.37000000,0.00182900,1414.29000000,0.00000000
516231000000,0.02872200,1859.02000000,0.01134900,1043.47000000,0.00035600,1180.75000000,0.00000000
516218000000,0.00367500,1393.66000000,0.02241500,1197.88000000,0.00019600,265.30292900,0.00000000
516212000000,0.03003900,1078.12000000,0.02465900,850.00000000,0.00008800,0.00000000,0.00000000
516251000000,0.03000000,1086.20000000,0.00380400,535.53234700,0.00194100,1223.18000000,1.00000000
516249000000,0.01057400,783.61548400,0.00624400,617.51300000,0.00034200,1425.89000000,0.00000000
516232000000,0.00624100,896.18744700,0.00711900,682.81850000,0.00420400,1172.64000000,0.00000000
516233000000,0.03079900,1742.29000000,0.01102500,1153.45000000,0.00421900,1354.40000000,0.00000000
516211000000,0.03000000,1360.42000000,0.02281600,1189.90000000,0.00128900,1349.06000000,0.00000000
516212000000,0.00614300,1584.96000000,0.02007300,1362.66000000,0.00015400,114.15227600,0.00000000
516244000000,0.00665500,657.47074700,0.00592500,608.37551100,0.00028000,598.44797700,0.00000000
516212000000,0.00579400,1657.42000000,0.00944500,582.07558100,0.00025000,585.29863500,0.00000000
516219000000,0.00879400,550.54626900,0.00977400,499.11313100,0.00014200,75.30138700,1.00000000
516226000000,0.03045800,1423.12000000,0.01536500,1159.87000000,0.00037100,1410.95000000,0.00000000
516212000000,0.00722800,842.25451400,0.03000000,850.00000000,0.00018900,108.18571800,0.00000000
516212000000,0.00479300,356.10291900,0.00308100,159.24433600,0.00010100,86.40749000,0.00000000
516234000000,0.00739200,2111.53000000,0.00894800,586.89600900,0.00034900,1184.81000000,0.00000000
516231000000,0.03105400,2209.73000000,0.03105400,902.27500000,0.00858000,1436.78000000,0.00000000
516244000000,0.00740600,618.97103400,0.00190300,198.63071500,0.00019500,462.60402000,0.00000000
516211000000,0.02975400,1278.21000000,0.01397000,1105.58000000,0.00016700,113.14054100,0.00000000
516235000000,0.03000000,1304.76000000,0.00735400,968.17336100,0.00110100,1712.72000000,0.00000000
516211000000,0.00574100,496.51855700,0.00775100,621.39040800,0.00144400,1260.87000000,0.00000000
516212000000,0.03228100,1540.29000000,0.03228100,1032.65000000,0.00320200,1120.33000000,0.00000000
516226000000,0.02983300,1054.98000000,0.01378200,1102.70000000,0.00023000,650.44964600,0.00000000
516246000000,0.03000000,1082.46000000,0.00313600,243.28737800,0.00018200,117.03905900,0.00000000
516244000000,0.02932100,1037.21000000,0.00653200,564.23801000,0.00016800,110.24604700,0.00000000
516211000000,0.02050000,1128.02000000,0.01057300,906.82250000,0.00155000,1126.51000000,0.00000000
516211000000,0.02305400,923.24476400,0.01957600,596.06950000,0.00015800,102.63488500,0.00000000
516248000000,0.00550500,1678.24000000,0.00545700,422.83443700,0.00032000,1370.64000000,0.00000000
516233000000,0.00516000,307.19279800,0.01056100,676.13175700,0.00033800,875.97785100,0.00000000
516212000000,0.03000000,1046.96000000,0.00170200,102.97898900,0.00015100,355.04179900,0.00000000
516244000000,0.01593100,964.06194600,0.00198200,481.83288300,0.00285500,1376.66000000,0.00000000
516220000000,0.00458800,320.53250400,0.00178400,201.35006600,0.00030400,893.35840800,0.00000000
516250000000,0.02763800,1183.07000000,0.00707800,588.22083900,0.00044600,1193.44000000,0.00000000
516247000000,0.02843300,993.18906600,0.00097500,0.00000000,0.00021900,291.74495300,1.00000000
516212000000,0.03000000,1045.87000000,0.01185300,1000.00000000,0.00008800,0.00000000,0.00000000
516212000000,0.00844000,572.78505600,0.02150400,887.55300000,0.00013900,89.48302700,0.00000000
516252000000,0.03000000,1057.95000000,0.00233600,239.78351500,0.00019300,445.53654200,0.00000000
516248000000,0.00615800,510.81009700,0.00202600,173.15128700,0.00019500,413.11649400,0.00000000
516247000000,0.00528900,264.36862900,0.00161800,181.39890500,0.00016500,379.16070700,0.00000000
516219000000,0.00542600,371.85266800,0.00298300,431.38027900,0.00017500,498.20250600,0.00000000
516257000000,0.00139200,1205.74000000,0.00342200,575.46486700,0.00040700,2081.64000000,1.00000000
516212000000,0.02774700,1654.87000000,0.02774700,977.75445800,0.00231100,1230.08000000,0.00000000
516223000000,0.03202600,1051.82000000,0.00312600,250.94310700,0.00013200,108.03295000,0.00000000
516212000000,0.00450900,4369.24000000,0.00303400,384.92893500,0.00021900,716.94445400,1.00000000
516220000000,0.00130700,190.86349700,0.00347800,432.24327200,0.00023000,550.56469100,0.00000000
516261000000,0.00695300,1071.17000000,0.00658800,967.76491700,0.00042900,1964.04000000,0.00000000
516244000000,0.02968100,959.77149400,0.00554600,391.23907900,0.00016800,101.36102800,0.00000000
516250000000,0.01647700,972.22343000,0.00421200,604.01250000,0.00033700,1399.79000000,0.00000000
516228000000,0.00066000,0.00000000,0.00467400,385.15491300,0.00024500,787.10198200,0.00000000
516233000000,0.01415000,978.37431700,0.00549200,267.96569600,0.00042800,953.50144000,0.00000000
516234000000,0.00941300,680.49183500,0.01045500,617.35755800,0.00042200,1249.83000000,0.00000000
516243000000,0.01360800,1049.13000000,0.01047400,850.00000000,0.00041700,1151.17000000,1.00000000
